Parent Category ID,Parent Category,Parent Alias,Child Category ID,Child Category,Child Alias
1,"Телевизор, фото-видео ва аудио",televizory-audio-i-videotekhnika,2,Телевизорлар,televizory
1,"Телевизор, фото-видео ва аудио",televizory-audio-i-videotekhnika,3,Аудио,audio
1,"Телевизор, фото-видео ва аудио",televizory-audio-i-videotekhnika,4,Видеотехника,videotekhnika
1,"Телевизор, фото-видео ва аудио",televizory-audio-i-videotekhnika,110,Media Player,mediapleer
1,"Телевизор, фото-видео ва аудио",televizory-audio-i-videotekhnika,169,Диктофонлар,diktofony
1,"Телевизор, фото-видео ва аудио",televizory-audio-i-videotekhnika,189,"Фото, видео",foto-video
1,"Телевизор, фото-видео ва аудио",televizory-audio-i-videotekhnika,191,Ўйин консоллари,igrovye-pristavki-1
1,"Телевизор, фото-видео ва аудио",televizory-audio-i-videotekhnika,343,Кронштейнлар,kronshteyny
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,6,Ноутбуклар,noutbuki
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,50,Мониторлар,monitory
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,51,Компьютер қурилмалари,kompyuternye-komponenty
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,64,Офис жиҳозлари,printery
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,137,Ноутбук учун сумка ва рюкзаклар,sumki-i-ryukzaki-dlya-noutbukov
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,179,Тизим ускуналари,setevoe-oborudovanie
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,285,Моноблок,monoblock
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,314,Проекторлар,proektory-1
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,316,Стол усти компьютерлари,nastolnye-kompyutery
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,441,Мониторлар учун кронштейн ва тагкурсилар,kronshteyn-dlya-monitorov
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,460,Видеогаолиш,videozakhvat
5,"Ноутбук, принтер, компьютерлар",noutbuki-planshety-kompyutery,910,Бошқа аксессуарлар,prochie-aksessuary
9,"Смартфон, телефон, гаджет, аксессуарлар",telefony-gadzhety-aksessuary,10,Смартфонлар,telefony
9,"Смартфон, телефон, гаджет, аксессуарлар",telefony-gadzhety-aksessuary,12,Смартфонлар ва гаджетлар учун аксессуарлар,aksessuary
9,"Смартфон, телефон, гаджет, аксессуарлар",telefony-gadzhety-aksessuary,103,Планшетлар,planshety
9,"Смартфон, телефон, гаджет, аксессуарлар",telefony-gadzhety-aksessuary,130,Телефонлар,radiotelefony
9,"Смартфон, телефон, гаджет, аксессуарлар",telefony-gadzhety-aksessuary,142,Smart Watches,smart-watches
